time_s,x,y,z,qx,qy,qz,qw,target_fz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.76112699508667
0.066591,-0.000004898,0.000674082,0.000445795,-0.004889056072,-0.001926689591,0.003590298046,0.999979747174,-4.461061
0.133162,0.000076753,0.000948631,0.000941097,-0.000354604337,-0.002228754354,0.003688381727,0.999990651331,-4.213594
0.199981,0.000516077,-0.001646920,0.001086779,-0.002810641883,-0.002730798896,-0.005916921304,0.999974816219,-4.439787
0.233390,0.000470081,-0.001120994,0.001229500,-0.005756827217,-0.003774472142,-0.003239999015,0.999971056935,-4.655410
0.300076,0.000128990,0.000412554,0.000914407,0.003075645325,-0.001345892374,0.000563175422,0.999994205890,-4.834797
0.367104,0.000121102,0.000401069,0.000912277,0.007396148145,-0.000691805276,-0.000407952088,0.999972325604,-4.677684
0.400421,0.000162337,0.000225994,0.000860240,0.002526849367,-0.001423342954,0.000230806370,0.999995767919,-5.529489
0.466902,-0.000069759,0.001763233,0.001178933,0.001747474391,-0.002472022149,0.005815958939,0.999978504800,-4.790591
0.534361,0.000033294,0.001424882,0.001320744,0.003263115887,-0.002275836195,0.004313203275,0.999982784313,-5.182354
0.668786,0.000254782,-0.000186047,0.001219901,-0.004989316285,-0.003555252167,-0.000385572322,0.999981158942,-5.351119
0.767012,0.000358032,-0.000865679,0.001352269,-0.002114374775,-0.003137239473,-0.004111067567,0.999984393014,-4.582859
0.800529,-0.000160061,0.002371173,0.001398936,0.009354008912,-0.001411470719,0.006431641527,0.999934569987,-5.337841
0.867101,0.000122574,0.000594642,0.001462297,0.006217259071,-0.002113175435,-0.000348672100,0.999978379070,-5.262083
0.933978,0.000286081,-0.000356627,0.001517403,-0.005684952444,-0.004485689743,-0.001582871654,0.999972526833,-5.127682
0.967414,0.000187647,-0.000345607,0.001214789,-0.001546621302,-0.002890972366,-0.003014927160,0.999990080179,-6.078072
1.034049,0.000175102,-0.000612610,0.000983453,-0.009854484313,-0.004005160578,-0.002401604539,0.999940538294,-5.672386
1.100694,-0.000139064,0.001213646,0.000919242,-0.001028827978,-0.002175471576,0.002965172099,0.999992708269,-6.354849
1.167631,0.000142464,0.000420155,0.001555668,-0.000292927758,-0.003482920177,-0.000732414261,0.999993623495,-6.048206
1.234035,0.000361948,-0.000930753,0.001437106,0.005135236615,-0.001917942526,-0.006923555410,0.999961006851,-5.350380
1.300920,0.000475441,-0.000788933,0.001871151,-0.008728967744,-0.005280791615,-0.004051661696,0.999939749385,-6.291268
1.334186,0.000171286,0.001753311,0.001870827,0.013265142628,-0.000945676801,0.001318203672,0.999910698025,-7.072972
1.400924,0.001296352,-0.002436279,0.002131418,0.019615132598,0.000275501098,-0.014192822720,0.999706824252,-6.491971
1.467527,0.002465654,-0.005130715,0.003094041,0.033296153789,0.001730791499,-0.023307991208,0.999172211408,-3.572657
1.501103,0.002916620,-0.005845447,0.003697706,0.051335531411,0.004428738289,-0.028371429168,0.998268556802,-2.605913
1.567859,0.004031066,-0.007418118,0.005157087,0.078082246965,0.008393296333,-0.035169052262,0.996291048363,-3.278853
1.634296,0.004707665,-0.010040731,0.005528101,0.112998585639,0.015616176239,-0.052052280334,0.992107864496,-1.311611
1.667652,0.004973638,-0.010562418,0.005911469,0.126626024055,0.018052750421,-0.055660719109,0.990223122626,-1.061119
1.734698,0.005253355,-0.011009881,0.006288319,0.157948360832,0.024662937003,-0.063151799412,0.985117203727,-1.534127
1.801126,0.005457917,-0.011674294,0.006634800,0.187166422776,0.030160239000,-0.070667399783,0.979318747281,-1.219751
1.867764,0.005695214,-0.011621276,0.007855638,0.226078058720,0.035955513803,-0.076764935994,0.970413858616,-2.608302
1.934575,0.005932272,-0.010984728,0.010215552,0.264919810979,0.039321586079,-0.082030238616,0.959969971703,-1.799869
1.968185,0.006287838,-0.010995706,0.011829358,0.283190689864,0.039665362043,-0.082226809877,0.954708564938,-4.679464
2.034818,0.006502492,-0.010542454,0.014441164,0.316386187501,0.041084641229,-0.084478253035,0.943967826453,-3.479523
2.101570,0.006602141,-0.009764001,0.017389720,0.343187285519,0.039756525387,-0.085392606179,0.934531972999,-3.574536
2.168132,0.006635562,-0.008992034,0.019564889,0.369103247115,0.040677237448,-0.085217960146,0.924578852555,-4.998872
2.201479,0.006728392,-0.008876711,0.020631811,0.380616116209,0.040446955088,-0.085156413423,0.919915105409,-3.643538
