time_s,x,y,z,vx,vy,vz,ax,ay,az,displacement_norm_m,speed_norm_m_s,acc_norm_m_s2
0.033295,-0.000002449,0.000337041,0.000222898,-0.000137913,0.018980099,0.012552231,-0.000000000,0.000000000,0.000000000,0.000404087,0.022755695,0.000000000
0.034275,-0.000002584,0.000355617,0.000235183,-0.000137674,0.018947275,0.012530524,0.000486883,-0.067006688,-0.044313965,0.000426358,0.022716343,0.080335924
0.035254,-0.000002718,0.000374129,0.000247425,-0.000136960,0.018848976,0.012465515,0.000971236,-0.133665288,-0.088397728,0.000448552,0.022598489,0.160254519
0.036233,-0.000002852,0.000392513,0.000259583,-0.000135774,0.018685711,0.012357542,0.001450531,-0.199627716,-0.132021086,0.000470593,0.022402747,0.239338455
0.037213,-0.000002984,0.000410705,0.000271614,-0.000134122,0.018458334,0.012207169,0.001922238,-0.264545883,-0.174953836,0.000492404,0.022130139,0.317170402
0.038192,-0.000003115,0.000428644,0.000283478,-0.000132012,0.018168037,0.012015185,0.002383827,-0.328071704,-0.216965777,0.000513911,0.021782095,0.393333032
0.039171,-0.000003243,0.000446268,0.000295133,-0.000129457,0.017816354,0.011782605,0.002832771,-0.389857091,-0.257826706,0.000535042,0.021360454,0.467409014
0.040150,-0.000003368,0.000463519,0.000306542,-0.000126469,0.017405161,0.011510667,0.003266539,-0.449553958,-0.297306421,0.000555724,0.020867465,0.538981019
0.041130,-0.000003490,0.000480339,0.000317665,-0.000123065,0.016936672,0.011200839,0.003682602,-0.506814218,-0.335174718,0.000575889,0.020305782,0.607631718
0.042109,-0.000003609,0.000496672,0.000328468,-0.000119263,0.016413444,0.010854809,0.004078432,-0.561289785,-0.371201396,0.000595473,0.019678472,0.672943781
0.043088,-0.000003724,0.000512468,0.000338914,-0.000115084,0.015838375,0.010474495,0.004451497,-0.612632571,-0.405156253,0.000614411,0.018989008,0.734499879
0.044068,-0.000003834,0.000527677,0.000348972,-0.000110553,0.015214704,0.010062038,0.004799271,-0.660494491,-0.436809085,0.000632645,0.018241273,0.791882682
0.045047,-0.000003940,0.000542253,0.000358611,-0.000105694,0.014546008,0.009619805,0.005119222,-0.704527457,-0.465929691,0.000650120,0.017439558,0.844674861
0.046026,-0.000004041,0.000556153,0.000367804,-0.000100536,0.013836209,0.009150389,0.005408822,-0.744383383,-0.492287867,0.000666785,0.016588562,0.892459086
0.047005,-0.000004137,0.000569340,0.000376525,-0.000095111,0.013089566,0.008656607,0.005665542,-0.779714182,-0.515653413,0.000682595,0.015693395,0.934818028
0.047985,-0.000004227,0.000581779,0.000384752,-0.000089452,0.012310683,0.008141504,0.005886853,-0.810171767,-0.535796124,0.000697509,0.014759573,0.971334357
0.048964,-0.000004312,0.000593442,0.000392465,-0.000083594,0.011504502,0.007608346,0.006070224,-0.835408052,-0.552485799,0.000711492,0.013793023,1.001590744
0.049943,-0.000004391,0.000604304,0.000399648,-0.000077576,0.010676305,0.007060630,0.006213127,-0.855074950,-0.565492236,0.000724515,0.012800079,1.025169860
0.050923,-0.000004464,0.000614347,0.000406290,-0.000071439,0.009831719,0.006502074,0.006313033,-0.868824374,-0.574585231,0.000736555,0.011787483,1.041654374
0.051902,-0.000004531,0.000623557,0.000412381,-0.000065226,0.008976707,0.005936624,0.006367412,-0.876308238,-0.579534583,0.000747597,0.010762389,1.050626958
0.052881,-0.000004592,0.000631927,0.000417916,-0.000058984,0.008117576,0.005368449,0.006373735,-0.877178455,-0.580110089,0.000757632,0.009732357,1.051670282
0.053860,-0.000004646,0.000639456,0.000422896,-0.000052760,0.007260974,0.004801947,0.006329473,-0.871086938,-0.576081547,0.000766659,0.008705356,1.044367016
0.054840,-0.000004695,0.000646151,0.000427323,-0.000046604,0.006413888,0.004241738,0.006232096,-0.857685600,-0.567218754,0.000774686,0.007689764,1.028299831
0.055819,-0.000004738,0.000652024,0.000431207,-0.000040572,0.005583646,0.003692669,0.006079076,-0.836626355,-0.553291508,0.000781727,0.006694367,1.003051398
0.056798,-0.000004775,0.000657095,0.000434561,-0.000034717,0.004777919,0.003159812,0.005867883,-0.807561117,-0.534069606,0.000787807,0.005728362,0.968204386
0.057777,-0.000004806,0.000661392,0.000437403,-0.000029099,0.004004717,0.002648465,0.005595988,-0.770141798,-0.509322846,0.000792959,0.004801351,0.923341467
0.058757,-0.000004832,0.000664952,0.000439757,-0.000023778,0.003272392,0.002164152,0.005260861,-0.724020312,-0.478821026,0.000797226,0.003923349,0.868045312
0.059736,-0.000004852,0.000667817,0.000441652,-0.000018817,0.002589635,0.001712620,0.004859973,-0.668848572,-0.442333943,0.000800662,0.003104775,0.801898590
0.060715,-0.000004869,0.000670043,0.000443124,-0.000014282,0.001965480,0.001299844,0.004390795,-0.604278491,-0.399631395,0.000803330,0.002356461,0.724483972
0.061695,-0.000004881,0.000671689,0.000444212,-0.000010240,0.001409301,0.000932022,0.003850798,-0.529961983,-0.350483179,0.000805304,0.001689645,0.635384128
0.062674,-0.000004889,0.000672828,0.000444966,-0.000006763,0.000930814,0.000615581,0.003237453,-0.445550961,-0.294659093,0.000806670,0.001115975,0.534181730
0.063653,-0.000004894,0.000673541,0.000445437,-0.000003924,0.000540072,0.000357170,0.002548229,-0.350697338,-0.231928934,0.000807524,0.000647506,0.420459448
0.064632,-0.000004897,0.000673918,0.000445687,-0.000001798,0.000247475,0.000163664,0.001780599,-0.245053029,-0.162062501,0.000807976,0.000296703,0.293799952
0.066591,-0.000004898,0.000674082,0.000445795,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000808173,0.000000000,0.000000000
