time_s,x_hermite,y_hermite,z_hermite,vx_hermite,vy_hermite,vz_hermite,ax_hermite,ay_hermite,az_hermite,speed_hermite,acc_hermite,x_spline,y_spline,z_spline,vx_spline,vy_spline,vz_spline,ax_spline,ay_spline,az_spline,speed_spline,acc_spline
0,0,0,0,-0.000723690388,0.0131224528,0.00632162558,0.00435791135,0.0484669961,0.0337194003,0.0145837391,0.0592033703,-4.69565504e-05,-0.000108006775,0.00031295427,0.000970067668,0.0540937304,-0.000243056789,0.0374592329,-1.41138717,0.0438814038,0.0541029738,1.41256593
0.001,-7.21064365e-07,1.31426024e-05,6.33782154e-06,-0.000717999723,0.0131587453,0.0063533663,0.00698972635,0.0244256596,0.0298120667,0.0146298791,0.0391692283,-4.59678586e-05,-5.46158043e-05,0.000312733101,0.00100721074,0.0526911414,-0.000199335303,0.036827627,-1.3938102,0.0435617459,0.0527011441,1.39497698
0.002,-1.43515559e-06,2.6309782e-05,1.27054798e-05,-0.000709777293,0.0131719103,0.00638134823,0.00942246705,0.00220284479,0.0262002894,0.0146534846,0.0279301016,-4.49423388e-05,-2.61865304e-06,0.000312555493,0.00104372434,0.0513060714,-0.000155932942,0.0362002614,-1.37634907,0.0432431531,0.0513169235,1.37750397
0.003,-2.13984043e-06,3.94793113e-05,1.90993622e-05,-0.000699219092,0.0131637384,0.00640586235,0.0116622976,-0.0182577572,0.022874917,0.0146563293,0.0315058203,-4.38806183e-05,4.80021396e-05,0.000312421129,0.00107961268,0.0499384047,-0.000112848642,0.0355771248,-1.35900345,0.0429256239,0.0499502009,1.36014658
0.004,-2.83287853e-06,5.2630725e-05,2.55161426e-05,-0.000686514947,0.0131359634,0.00642719048,0.0137153821,-0.0370124553,0.0198267976,0.0146401371,0.044171659,-4.27833204e-05,9.72639191e-05,0.00031232969,0.00111487999,0.0485880261,-7.00813404e-05,0.0349582057,-1.34177302,0.0426091569,0.0486008657,1.34290449
0.005,-3.5122163e-06,6.57452637e-05,3.19527721e-05,-0.000671848522,0.0130902633,0.00644560531,0.0155878848,-0.0541175582,0.0170467798,0.0146065808,0.0588411842,-4.1651064e-05,0.000145183916,0.000312280861,0.00114953049,0.0472548204,-2.7629975e-05,0.0343434926,-1.32465744,0.0422937506,0.0472688083,1.32577735
0.006,-4.17598072e-06,7.88058177e-05,3.840647e-05,-0.000655397317,0.0130282594,0.00646137036,0.0172859697,-0.0696293747,0.0145257118,0.0145572798,0.0731987082,-4.04844636e-05,0.000191779246,0.000312274325,0.00118356837,0.045938673,1.45065139e-05,0.0337329742,-1.30765639,0.0419794037,0.0459539196,1.30876484
0.007,-4.82247318e-06,9.17968703e-05,4.48747145e-05,-0.000637332667,0.0129515169,0.00647474,0.0188158011,-0.0836042138,0.0122544421,0.0144938001,0.0865671432,-3.928413e-05,0.00023706691,0.000312309769,0.00121699783,0.0446394696,5.6329185e-05,0.0331266389,-1.29076953,0.0416661146,0.0446560914,1.29186664
0.008,-5.45016336e-06,0.000104704442,5.13552334e-05,-0.000617819744,0.0128615445,0.00648595946,0.0201835431,-0.0960983842,0.0102238191,0.0144176524,0.0987258899,-3.80506694e-05,0.000281063795,0.000312386879,0.00124982304,0.043357096,9.78390953e-05,0.0325244753,-1.27399652,0.041353882,0.0433752165,1.2750824
0.009,-6.05768299e-06,0.000117516034,5.78459955e-05,-0.000597017556,0.0127597949,0.0064952648,0.0213953598,-0.107168195,0.00842469102,0.0143302917,0.109607294,-3.6784684e-05,0.000323786674,0.000312505343,0.00128204817,0.0420914387,0.000139037301,0.031926472,-1.25733705,0.0410427043,0.0421111884,1.2584118
