time_s,x_hermite,y_hermite,z_hermite,vx_hermite,vy_hermite,vz_hermite,ax_hermite,ay_hermite,az_hermite,speed_hermite,acc_hermite,x_spline,y_spline,z_spline,vx_spline,vy_spline,vz_spline,ax_spline,ay_spline,az_spline,speed_spline,acc_spline
0,0,0,0,-0.000723690388,0.0131224528,0.00632162558,0.00435791135,0.0484669961,0.0337194003,0.0145837391,0.0592033703,-3.45187057e-05,0.000209081715,0.000222335207,0.000113633678,0.0135589336,0.00278698764,0.051159183,-0.40500101,0.0101749172,0.0138428644,0.408346188
0.001,-7.21064365e-07,1.31426024e-05,6.33782154e-06,-0.000717999723,0.0131587453,0.0063533663,0.00698972635,0.0244256596,0.0298120667,0.0146298791,0.0391692283,-3.43796148e-05,0.000222438966,0.000225127262,0.000164425886,0.0131563862,0.00279710095,0.0504259965,-0.400098851,0.0100517679,0.0134514426,0.403389278
0.002,-1.43515559e-06,2.6309782e-05,1.27054798e-05,-0.000709777293,0.0131719103,0.00638134823,0.00942246705,0.00220284479,0.0262002894,0.0146534846,0.0279301016,-3.41900975e-05,0.000235396116,0.000227929368,0.000214487196,0.0127587261,0.00280709133,0.049697384,-0.395226346,0.00992906097,0.0130656365,0.398462396
0.003,-2.13984043e-06,3.94793113e-05,1.90993622e-05,-0.000699219092,0.0131637384,0.00640586235,0.0116622976,-0.0182577572,0.022874917,0.0146563293,0.0315058203,-3.39508825e-05,0.000247958037,0.000230741403,0.000263822175,0.0123659236,0.00281695922,0.0489733337,-0.39038342,0.00980679564,0.0126854613,0.393565465
0.004,-2.83287853e-06,5.2630725e-05,2.55161426e-05,-0.000686514947,0.0131359634,0.00642719048,0.0137153821,-0.0370124553,0.0198267976,0.0146401371,0.044171659,-3.36626938e-05,0.000260129573,0.000233563246,0.00031243538,0.0119779494,0.00282670507,0.0482538339,-0.385569997,0.0096849714,0.0123109361,0.388698409
0.005,-3.5122163e-06,6.57452637e-05,3.19527721e-05,-0.000671848522,0.0130902633,0.00644560531,0.0155878848,-0.0541175582,0.0170467798,0.0146065808,0.0588411842,-3.33262508e-05,0.000271915536,0.000236394773,0.000360331356,0.0115947738,0.00283632931,0.047538873,-0.380785999,0.00956358766,0.0119420845,0.383861151
0.006,-4.17598072e-06,7.88058177e-05,3.840647e-05,-0.000655397317,0.0130282594,0.00646137036,0.0172859697,-0.0696293747,0.0145257118,0.0145572798,0.0731987082,-3.29422686e-05,0.00028332071,0.000239235864,0.000407514635,0.0112163676,0.00284583239,0.0468284392,-0.37603135,0.00944264384,0.0115789349,0.379053614
0.007,-4.82247318e-06,9.17968703e-05,4.48747145e-05,-0.000637332667,0.0129515169,0.00647474,0.0188158011,-0.0836042138,0.0122544421,0.0144938001,0.0865671432,-3.25114576e-05,0.000294349851,0.000242086398,0.00045398974,0.0108427014,0.00285521474,0.0461225208,-0.371305975,0.00932213937,0.0112215209,0.374275722
0.008,-5.45016336e-06,0.000104704442,5.13552334e-05,-0.000617819744,0.0128615445,0.00648595946,0.0201835431,-0.0960983842,0.0102238191,0.0144176524,0.0987258899,-3.20345237e-05,0.000305007683,0.000244946253,0.000499761178,0.0104737459,0.00286447681,0.0454211062,-0.366609797,0.00920207366,0.0108698823,0.369527398
0.009,-6.05768299e-06,0.000117516034,5.78459955e-05,-0.000597017556,0.0127597949,0.0064952648,0.0213953598,-0.107168195,0.00842469102,0.0143302917,0.109607294,-3.15121683e-05,0.000315298903,0.000247815311,0.000544833449,0.0101094721,0.00287361904,0.0447241835,-0.361942739,0.00908244613,0.0105240655,0.364808566
0.01,-6.64381973e-06,0.000130220572,6.43452007e-05,-0.000575078945,0.0126476642,0.00650288296,0.0224574154,-0.116869954,0.00684790633,0.0142331167,0.119204931,-3.09450884e-05,0.000325228178,0.000250693452,0.000589211039,0.00974985076,0.00288264185,0.0440317412,-0.357304726,0.00896325621,0.0101841241,0.360119149
0.011,-7.20751103e-06,0.000142808349,7.08512717e-05,-0.000552150591,0.0125264922,0.00650903168,0.023375874,-0.125259972,0.00548431338,0.0141274687,0.127540463,-3.03339763e-05,0.000334800146,0.000253580555,0.000632898421,0.00939485297,0.00289154569,0.0433437675,-0.352695681,0.00884450332,0.00985011976,0.35545907
0.012,-7.74783791e-06,0.000155270971,7.73628439e-05,-0.000528373008,0.0123975627,0.0065139196,0.0241568999,-0.132394555,0.00432476055,0.0140146312,0.134649834,-2.96795201e-05,0.000344019416,0.000256476503,0.000675900059,0.00904444977,0.002900331,0.0426602508,-0.348115527,0.00872618688,0.00952212332,0.350828254
0.013,-8.26401882e-06,0.000167601299,8.38787572e-05,-0.000503880547,0.0122621028,0.00651774616,0.0248066571,-0.138330015,0.00336009621,0.0138958295,0.14057686,-2.89824033e-05,0.000352890567,0.000259381178,0.000718220404,0.00869861231,0.00290899821,0.0419811792,-0.343564189,0.0086083063,0.00920021561,0.346226623
0.014,-8.7554035e-06,0.000179793391,9.0398046e-05,-0.000478801395,0.0121212836,0.0065207017,0.0253313097,-0.143122658,0.00258116873,0.01377223,0.145369987,-2.82433049e-05,0.000361418153,0.000262294461,0.000759863896,0.00835731181,0.00291754776,0.0413065412,-0.33904159,0.00849086101,0.00888448866,0.341654101
0.015,-9.22146679e-06,0.000191842452,9.69199307e-05,-0.000453257574,0.0119762197,0.00652296736,0.025737022,-0.146828795,0.00197882648,0.0136449399,0.149080532,-2.74628996e-05,0.000369606694,0.000265216234,0.000800834961,0.00802051958,0.00292598008,0.040636325,-0.334547654,0.00837385043,0.00857504696,0.337110613
0.016,-9.66180245e-06,0.000203744769,0.000103443808,-0.000427364943,0.0118279694,0.00652471516,0.0260299581,-0.149504734,0.00154391784,0.0135150068,0.151761681,-2.66418577e-05,0.000377460685,0.000268146382,0.000841138016,0.00768820697,0.00293429561,0.0399705189,-0.330082305,0.00825727398,0.00827200885,0.332596081
0.017,-1.0076117e-05,0.000215497663,0.000109969243,-0.000401233195,0.0116775349,0.00652610796,0.0262162822,-0.151206783,0.00126729118,0.0133834186,0.153467882,-2.57808448e-05,0.000384984591,0.000271084787,0.000880777465,0.00736034546,0.00294249477,0.0393091113,-0.325645466,0.00814113109,0.00797550812,0.328110429
