time_s,x_filtered,y_filtered,z_filtered,vx,vy,vz,ax,ay,az,speed_norm_m_s,acc_norm_m_s2
0.037213,0.000056287,0.000084622,0.000312761,0.002529729,0.003803164,0.014056424,-0.036256220,-0.054507161,-0.201457467,0.014779941,0.211826946
0.038192,0.000058746,0.000088318,0.000326422,0.002489944,0.003743351,0.013835357,-0.044962483,-0.067596052,-0.249833767,0.014547495,0.262693285
0.039171,0.000061161,0.000091949,0.000339843,0.002441745,0.003670890,0.013567543,-0.053430219,-0.080326343,-0.296884688,0.014265896,0.312166026
0.040150,0.000063526,0.000095504,0.000352980,0.002385391,0.003586168,0.013254410,-0.061611721,-0.092626314,-0.342345156,0.013936645,0.359966449
0.041130,0.000065831,0.000098969,0.000365788,0.002321184,0.003489640,0.012897646,-0.069459285,-0.104424246,-0.385950095,0.013561517,0.405815834
0.042109,0.000068069,0.000102335,0.000378227,0.002249475,0.003381834,0.012499196,-0.076925204,-0.115648418,-0.427434429,0.013142559,0.449435462
0.043088,0.000070234,0.000105589,0.000390256,0.002170662,0.003263347,0.012061269,-0.083961773,-0.126227111,-0.466533082,0.012682090,0.490546613
0.044068,0.000072319,0.000108723,0.000401838,0.002085187,0.003134845,0.011586329,-0.090521286,-0.136088604,-0.502980979,0.012182704,0.528870567
0.045047,0.000074316,0.000111726,0.000412937,0.001993542,0.002997067,0.011077103,-0.096556039,-0.145161177,-0.536513044,0.011647267,0.564128605
0.046026,0.000076221,0.000114590,0.000423522,0.001896263,0.002850819,0.010536575,-0.102018324,-0.153373111,-0.566864202,0.011078917,0.596042006
0.047005,0.000078028,0.000117307,0.000433564,0.001793935,0.002696981,0.009967991,-0.106860438,-0.160652686,-0.593769377,0.010481066,0.624332053
0.047985,0.000079733,0.000119870,0.000443037,0.001687189,0.002536499,0.009374854,-0.111034674,-0.166928182,-0.616963493,0.009857399,0.648720023
0.048964,0.000081332,0.000122273,0.000451919,0.001576701,0.002370393,0.008760929,-0.114493326,-0.172127878,-0.636181475,0.009211875,0.668927199
0.049943,0.000082820,0.000124511,0.000460191,0.001463196,0.002199751,0.008130240,-0.117188690,-0.176180055,-0.651158248,0.008548722,0.684674860
0.050923,0.000084197,0.000126580,0.000467838,0.001347445,0.002025732,0.007487069,-0.119073060,-0.179012993,-0.661628734,0.007872445,0.695684287
0.051902,0.000085459,0.000128478,0.000474852,0.001230265,0.001849565,0.006835958,-0.120098729,-0.180554972,-0.667327860,0.007187821,0.701676760
0.052881,0.000086606,0.000130202,0.000481226,0.001112520,0.001672549,0.006181712,-0.120217993,-0.180734272,-0.667990549,0.006499899,0.702373559
0.053860,0.000087638,0.000131754,0.000486960,0.000995122,0.001496055,0.005529390,-0.119383146,-0.179479173,-0.663351726,0.005814001,0.697495965
0.054840,0.000088555,0.000133133,0.000492058,0.000879028,0.001321520,0.004884315,-0.117546482,-0.176717955,-0.653146315,0.005135722,0.686765258
0.055819,0.000089360,0.000134343,0.000496530,0.000765243,0.001150457,0.004252068,-0.114660296,-0.172378898,-0.637109240,0.004470932,0.669902718
0.056798,0.000090055,0.000135388,0.000500392,0.000654818,0.000984445,0.003638490,-0.110676882,-0.166390282,-0.614975426,0.003825771,0.646629626
0.057777,0.000090644,0.000136274,0.000503665,0.000548850,0.000825134,0.003049680,-0.105548535,-0.158680388,-0.586479798,0.003206654,0.616667262
0.058757,0.000091132,0.000137007,0.000506375,0.000448484,0.000674245,0.002491998,-0.099227550,-0.149177494,-0.551357279,0.002620267,0.579736906
0.059736,0.000091525,0.000137597,0.000508558,0.000354911,0.000533570,0.001972064,-0.091666219,-0.137809882,-0.509342794,0.002073570,0.535559839
0.060715,0.000091830,0.000138056,0.000510252,0.000269371,0.000404968,0.001496756,-0.082816839,-0.124505832,-0.460171267,0.001573798,0.483857341
0.061695,0.000092056,0.000138395,0.000511506,0.000193146,0.000290373,0.001073214,-0.072631704,-0.109193623,-0.403577623,0.001128455,0.424350692
0.062674,0.000092212,0.000138630,0.000512373,0.000127569,0.000191785,0.000708835,-0.061063107,-0.091801535,-0.339296787,0.000745320,0.356761173
0.063653,0.000092309,0.000138777,0.000512916,0.000074017,0.000111277,0.000411277,-0.048063344,-0.072257849,-0.267063682,0.000432446,0.280810064
0.064632,0.000092361,0.000138854,0.000513203,0.000033917,0.000050990,0.000188457,-0.033584709,-0.050490844,-0.186613233,0.000198158,0.196218645
0.066591,0.000092383,0.000138888,0.000513328,0.000000000,-0.000000000,0.000000000,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000
0.067570,0.000092385,0.000138887,0.000513333,0.000003713,-0.000002373,0.000015111,0.007472602,-0.004774804,0.030409149,0.000015740,0.031675777
0.068549,0.000092393,0.000138882,0.000513367,0.000014413,-0.000009209,0.000058652,0.014276015,-0.009122013,0.058095091,0.000061095,0.060514918
0.069528,0.000092415,0.000138868,0.000513456,0.000031453,-0.000020098,0.000127997,0.020430518,-0.013054586,0.083140346,0.000133329,0.086603380
0.070507,0.000092456,0.000138842,0.000513625,0.000054210,-0.000034639,0.000220603,0.025956391,-0.016585478,0.105627438,0.000229792,0.110027123
0.071486,0.000092523,0.000138799,0.000513895,0.000082077,-0.000052445,0.000334005,0.030873910,-0.019727649,0.125638886,0.000347917,0.130872106
0.072465,0.000092619,0.000138738,0.000514285,0.000114468,-0.000073142,0.000465819,0.035203355,-0.022494055,0.143257212,0.000485222,0.149224286
0.073444,0.000092748,0.000138655,0.000514812,0.000150819,-0.000096369,0.000613744,0.038965004,-0.024897654,0.158564939,0.000639308,0.165169623
0.074423,0.000092915,0.000138549,0.000515491,0.000190582,-0.000121777,0.000775558,0.042179135,-0.026951402,0.171644586,0.000807862,0.178794076
0.075402,0.000093122,0.000138416,0.000516335,0.000233232,-0.000149029,0.000949119,0.044866027,-0.028668258,0.182578676,0.000988653,0.190183602
0.076381,0.000093372,0.000138256,0.000517353,0.000278263,-0.000177803,0.001132368,0.047045958,-0.030061180,0.191449731,0.001179535,0.199424161
0.077360,0.000093668,0.000138068,0.000518554,0.000325188,-0.000207787,0.001323326,0.048739207,-0.031143123,0.198340271,0.001378446,0.206601712
0.078339,0.000094010,0.000137849,0.000519946,0.000373541,-0.000238683,0.001520093,0.049966052,-0.031927046,0.203332817,0.001583410,0.211802213
