time_s,x_hermite,y_hermite,z_hermite,vx_hermite,vy_hermite,vz_hermite,ax_hermite,ay_hermite,az_hermite,speed_hermite,acc_hermite,x_spline,y_spline,z_spline,vx_spline,vy_spline,vz_spline,ax_spline,ay_spline,az_spline,speed_spline,acc_spline
0,0,0,0,-0.000723690388,0.0131224528,0.00632162558,0.00435791135,0.0484669961,0.0337194003,0.0145837391,0.0592033703,-0.000107916349,0.000368923231,8.07089926e-05,0.00625897992,-0.0142601693,0.0076643451,-0.0671066673,0.221024022,-0.044464022,0.0173571151,0.23522749
0.001,-7.21064365e-07,1.31426024e-05,6.33782154e-06,-0.000717999723,0.0131587453,0.0063533663,0.00698972635,0.0244256596,0.0298120667,0.0146298791,0.0391692283,-0.000101690851,0.000354773266,8.8351138e-05,0.00619208558,-0.0140400689,0.00761997807,-0.0666822611,0.219178286,-0.044270125,0.0171327034,0.233335572
0.002,-1.43515559e-06,2.6309782e-05,1.27054798e-05,-0.000709777293,0.0131719103,0.00638134823,0.00942246705,0.00220284479,0.0262002894,0.0146534846,0.0279301016,-9.55320362e-05,0.00034084248,9.59490133e-05,0.00612561488,-0.0138218098,0.00757580466,-0.0662594094,0.217341337,-0.0440767774,0.0169103046,0.231452649
0.003,-2.13984043e-06,3.94793113e-05,1.90993622e-05,-0.000699219092,0.0131637384,0.00640586235,0.0116622976,-0.0182577572,0.022874917,0.0146563293,0.0315058203,-8.94394808e-05,0.000327129036,0.000103502812,0.00605956625,-0.0136053833,0.00753182433,-0.0658381098,0.215513157,-0.0438839783,0.0166899124,0.229578703
0.004,-2.83287853e-06,5.2630725e-05,2.55161426e-05,-0.000686514947,0.0131359634,0.00642719048,0.0137153821,-0.0370124553,0.0198267976,0.0146401371,0.044171659,-8.34127636e-05,0.000313631105,0.000111012726,0.00599393814,-0.0133907806,0.00748803652,-0.0654183596,0.213693726,-0.0436917271,0.0164715206,0.227713717
0.005,-3.5122163e-06,6.57452637e-05,3.19527721e-05,-0.000671848522,0.0130902633,0.00644560531,0.0155878848,-0.0541175582,0.0170467798,0.0146065808,0.0588411842,-7.74514648e-05,0.000300346869,0.000118478949,0.00592872901,-0.013177993,0.0074444407,-0.0650001562,0.211883024,-0.0435000229,0.016255123,0.225857673
0.006,-4.17598072e-06,7.88058177e-05,3.840647e-05,-0.000655397317,0.0130282594,0.00646137036,0.0172859697,-0.0696293747,0.0145257118,0.0145572798,0.0731987082,-7.15551664e-05,0.000287274517,0.000125901671,0.00586393731,-0.0129670117,0.0074010363,-0.064583497,0.210081034,-0.043308865,0.0160407135,0.224010551
0.007,-4.82247318e-06,9.17968703e-05,4.48747145e-05,-0.000637332667,0.0129515169,0.00647474,0.0188158011,-0.0836042138,0.0122544421,0.0144938001,0.0865671432,-6.57234516e-05,0.000274412247,0.000133281085,0.0057995615,-0.012757828,0.00735782278,-0.0641683794,0.208287736,-0.0431182526,0.0158282862,0.222172333
0.008,-5.45016336e-06,0.000104704442,5.13552334e-05,-0.000617819744,0.0128615445,0.00648595946,0.0201835431,-0.0960983842,0.0102238191,0.0144176524,0.0987258899,-5.99559053e-05,0.000261758265,0.00014061738,0.00573560004,-0.0125504333,0.00731479961,-0.063754801,0.206503111,-0.0429281849,0.0156178352,0.220343002
0.009,-6.05768299e-06,0.000117516034,5.78459955e-05,-0.000597017556,0.0127597949,0.0064952648,0.0213953598,-0.107168195,0.00842469102,0.0143302917,0.109607294,-5.42521139e-05,0.000249310787,0.000147910747,0.00567205139,-0.0123448189,0.00727196623,-0.063342759,0.20472714,-0.0427386613,0.0154093547,0.218522539
0.01,-6.64381973e-06,0.000130220572,6.43452007e-05,-0.000575078945,0.0126476642,0.00650288296,0.0224574154,-0.116869954,0.00684790633,0.0142331167,0.119204931,-4.86116654e-05,0.000237068036,0.000155161376,0.00560891401,-0.0121409761,0.00722932211,-0.0629322509,0.202959805,-0.0425496808,0.0152028391,0.216710927
0.011,-7.20751103e-06,0.000142808349,7.08512717e-05,-0.000552150591,0.0125264922,0.00650903168,0.023375874,-0.125259972,0.00548431338,0.0141274687,0.127540463,-4.30341493e-05,0.000225028247,0.000162369455,0.00554618638,-0.0119388964,0.00718686669,-0.0625232741,0.201201085,-0.0423612428,0.0149982827,0.214908146
0.012,-7.74783791e-06,0.000155270971,7.73628439e-05,-0.000528373008,0.0123975627,0.0065139196,0.0241568999,-0.132394555,0.00432476055,0.0140146312,0.134649834,-3.75191566e-05,0.000213189659,0.000169535172,0.00548386696,-0.0117385711,0.00714459944,-0.0621158261,0.199450963,-0.0421733464,0.0147956801,0.21311418
0.013,-8.26401882e-06,0.000167601299,8.38787572e-05,-0.000503880547,0.0122621028,0.00651774616,0.0248066571,-0.138330015,0.00336009621,0.0138958295,0.14057686,-3.20662798e-05,0.000201550523,0.000176658716,0.00542195422,-0.0115399916,0.00710251982,-0.0617099042,0.197709419,-0.041985991,0.0145950259,0.211329009
0.014,-8.7554035e-06,0.000179793391,9.0398046e-05,-0.000478801395,0.0121212836,0.0065207017,0.0253313097,-0.143122658,0.00258116873,0.01377223,0.145369987,-2.66751131e-05,0.000190109096,0.000183740274,0.00536044664,-0.0113431494,0.00706062728,-0.0613055058,0.195976434,-0.0417991757,0.014396315,0.209552616
